Temperature,Humidity,Rainfall,Soil_pH,N,P,K,Crop,Disease
18.3,84.4,172.9,5.87,84,41,33,Tomato,Late Blight
19.7,89.7,182.5,6.03,87,39,42,Tomato,Late Blight
32.6,47.3,275.8,6.43,99,43,35,Rice,Leaf Blast
24.5,62.5,142.3,6.1,65,51,27,Potato,Early Blight
31.7,50.9,279.3,6.52,97,33,34,Rice,Leaf Blast
22.1,70.8,191.3,6.48,110,32,33,Wheat,Septoria Leaf Spot
25,75,167.7,7.45,93,45,50,Apple,Fire Blight
20.7,51.4,144.9,6.95,102,36,44,Wheat,Powdery Mildew
20.7,86.9,173.3,5.96,78,31,30,Tomato,Late Blight
24.7,59.5,102.7,7.47,51,47,42,Potato,Common Scab
31.8,80.2,298.3,6.07,111,27,38,Chili,Leaf Spot
31.8,48.1,210.3,6.25,65,45,34,Cotton,Bacterial Blight
28.9,64.1,213.9,7.78,90,48,37,Cotton,Verticillium Wilt
21.6,84.1,191.6,6.1,88,32,34,Tomato,Late Blight
34.7,78.2,217.7,6.93,84,47,31,Cotton,Leaf Spot
34.9,52,206,6.92,110,60,16,Chili,Anthracnose
28.4,82.7,288.4,6.43,110,31,40,Chili,Leaf Spot
27.8,74.3,145.2,7.19,93,45,52,Apple,Fire Blight
22.5,47.3,137.8,7.6,67,44,38,Potato,Common Scab
19.6,78.1,180.4,6.89,88,52,43,Apple,Cedar Apple Rust
33.2,80.1,207.9,6.05,104,43,18,Maize,Gray Leaf Spot
29.1,82.9,256.2,6.4,95,28,36,Chili,Leaf Spot
23.1,74.8,185.3,6.1,70,43,52,Apple,Apple Scab
37.5,94,159.1,7.07,124,52,22,Maize,Turcicum Leaf Blight
24.9,74.8,149,6.02,94,51,29,Tomato,Early Blight
29,89.2,253.9,6.21,105,33,44,Chili,Leaf Spot
33.5,39.4,220.1,6.68,82,51,39,Cotton,Bacterial Blight
21.7,61,132.6,6.75,106,43,48,Wheat,Powdery Mildew
28.8,77.6,180.5,6.41,104,36,30,Chili,Powdery Mildew
21.8,74.2,147.3,6.26,77,31,45,Potato,Late Blight
28.8,68.1,177.5,6.41,95,44,30,Chili,Powdery Mildew
33.3,64.5,239,5.73,77,28,28,Rice,Brown Spot
18.8,75.3,183.9,6.73,76,41,48,Apple,Cedar Apple Rust
21.4,65.4,134.2,6.12,61,64,32,Potato,Early Blight
30.7,56.5,202.3,6.95,100,53,23,Chili,Anthracnose
25.1,46.3,119.5,6.62,58,48,30,Potato,Common Scab
36.5,59.3,223.9,6.66,69,47,39,Cotton,Bacterial Blight
24.6,63.9,130.3,6.72,94,44,49,Wheat,Powdery Mildew
29.3,80.8,273.2,6.37,99,27,44,Chili,Leaf Spot
20.9,69.6,134.5,5.97,62,64,30,Potato,Early Blight
33.8,77.4,172.1,6.41,114,41,18,Maize,Gray Leaf Spot
21.6,77.4,157.2,6.34,83,24,48,Potato,Late Blight
24.7,67.3,136.4,5.81,66,58,25,Potato,Early Blight
25.1,71.2,121.7,6.42,96,57,27,Tomato,Early Blight
21.5,82,160.4,6.64,85,43,46,Apple,Cedar Apple Rust
36.3,84.9,223.1,6.22,95,43,37,Rice,Bacterial Leaf Blight
19.5,81.5,180.8,5.87,86,44,30,Tomato,Late Blight
25,79.7,169.2,6.4,98,52,38,Tomato,Bacterial Spot
31.6,80.2,282.7,6.19,108,30,37,Chili,Leaf Spot
24.5,68,142.8,5.81,66,58,31,Potato,Early Blight
16.6,84.5,185.4,6,73,36,53,Apple,Apple Scab
31.6,66.4,226,6.34,98,49,25,Cotton,Leaf Spot
29,85.9,177.4,6.24,108,42,26,Maize,Gray Leaf Spot
20.9,76,167.3,6.38,85,43,38,Apple,Cedar Apple Rust
27.3,69.9,160.5,6.96,94,47,49,Apple,Fire Blight
28.1,78.7,151.4,6.35,88,37,34,Chili,Powdery Mildew
29.5,85.7,202.5,6.25,98,36,23,Maize,Gray Leaf Spot
24.1,64.7,149.6,6.26,88,36,44,Wheat,Leaf Rust
34.9,91.6,143,7.07,114,45,23,Maize,Turcicum Leaf Blight
29,70,236.6,5.95,71,38,28,Rice,Brown Spot
30.1,45.9,205.7,6.98,113,55,24,Chili,Anthracnose
27.9,71.3,139.9,6.43,104,47,35,Wheat,Leaf Rust
32.4,50.5,199.4,6.97,100,63,21,Chili,Anthracnose
25.7,76,141.7,6.31,98,41,49,Tomato,Bacterial Spot
30.6,54.6,294.5,6.44,97,37,34,Rice,Leaf Blast
28.5,70.7,165.4,6.04,106,44,29,Maize,Common Rust
28.1,81.5,281.3,6.04,98,28,35,Chili,Leaf Spot
33.1,72.7,220.7,6.72,92,37,33,Cotton,Leaf Spot
20.5,70.8,188.1,6.44,89,43,44,Apple,Apple Scab
22.7,71.9,147,6.5,75,30,49,Potato,Late Blight
21.8,75.3,197.1,5.85,105,33,39,Wheat,Septoria Leaf Spot
28.3,79.4,204.7,6.24,97,44,29,Maize,Gray Leaf Spot
32,62.6,197.7,7.28,77,48,38,Cotton,Verticillium Wilt
27.4,75.2,175.4,6.46,102,37,35,Chili,Powdery Mildew
21.2,84.5,179.4,5.85,106,37,44,Wheat,Septoria Leaf Spot
20.2,84.2,190.6,5.57,88,43,43,Tomato,Late Blight
31.7,45,189.2,6.64,107,51,20,Chili,Anthracnose
33,57,187.9,6.61,115,60,21,Chili,Anthracnose
29.1,74.5,216.8,6.86,98,38,28,Cotton,Leaf Spot
28.2,69,125.4,6.2,99,50,38,Tomato,Early Blight
18.4,77.9,193.7,6.42,78,43,54,Apple,Apple Scab
28.4,65.7,179.1,6.84,71,48,32,Cotton,Verticillium Wilt
32,94.2,131.6,6.91,115,47,26,Maize,Turcicum Leaf Blight
20,70.6,181.4,6.2,70,45,50,Apple,Apple Scab
35.6,42.4,221.5,6.55,61,59,36,Cotton,Bacterial Blight
23.2,73.2,158.3,6.49,76,26,40,Potato,Late Blight
22.6,67.8,141.9,6.05,81,64,26,Potato,Early Blight
19.6,82.2,175.1,5.87,101,39,39,Wheat,Septoria Leaf Spot
29.5,62.6,257.5,6.1,74,29,27,Rice,Brown Spot
22.8,46.1,107.4,7.5,67,56,40,Potato,Common Scab
25,62.1,169.3,6.2,86,43,40,Wheat,Leaf Rust
32.8,56,188.1,6.68,117,54,20,Chili,Anthracnose
28.4,74.9,174.5,5.84,91,40,28,Maize,Common Rust
25.4,84.1,171.9,6.35,103,37,25,Maize,Common Rust
23.7,55.4,140.1,6.56,91,44,41,Wheat,Powdery Mildew
29.7,74.8,163.4,6.39,102,40,31,Maize,Common Rust
24.1,64.6,136,6.42,87,45,30,Tomato,Early Blight
20.6,72.2,141.9,6.92,93,48,50,Apple,Fire Blight
17.6,79.6,170.2,6.73,70,45,52,Apple,Apple Scab
31.9,52.1,206.1,6.71,110,50,16,Chili,Anthracnose
35.3,70.6,248.2,6.92,97,44,46,Rice,Bacterial Leaf Blight
27.5,78.5,162.9,6.59,99,41,35,Chili,Powdery Mildew
37.5,92.3,154.9,7.1,117,46,29,Maize,Turcicum Leaf Blight
22.7,75.6,146.3,6.15,78,25,40,Potato,Late Blight
22.7,73.3,166.6,6.13,113,35,36,Wheat,Septoria Leaf Spot
34.4,53.6,206.4,6.6,103,58,19,Chili,Anthracnose
23.5,55,140.3,6.64,105,39,44,Wheat,Powdery Mildew
24.9,72.1,131,6.17,88,51,31,Tomato,Early Blight
30.1,89.6,277,6.46,106,26,46,Chili,Leaf Spot
30.3,50.4,266.9,6.54,94,43,36,Rice,Leaf Blast
26.9,46,120.7,6.77,69,42,36,Potato,Common Scab
32.6,74.2,206.6,6.68,92,48,30,Cotton,Leaf Spot
32.5,87,130.9,7.01,106,47,29,Maize,Turcicum Leaf Blight
20.8,78.9,154.1,6.18,89,35,50,Apple,Apple Scab
31.4,47.8,192.2,6.87,119,62,24,Chili,Anthracnose
25.1,54.6,109.7,7.57,51,43,43,Potato,Common Scab
18.8,66.6,170.4,6.29,79,21,40,Potato,Late Blight
21.5,66.8,167.8,6.93,83,59,46,Apple,Fire Blight
28.8,69.6,222.9,6.17,76,39,34,Rice,Brown Spot
25.1,72.9,164.6,6.01,100,39,44,Wheat,Leaf Rust
23.4,60.2,129.5,6.48,102,36,45,Wheat,Powdery Mildew
25.2,80.8,188.1,5.98,91,37,33,Maize,Common Rust
31.7,66.4,201.8,6.58,90,39,30,Cotton,Leaf Spot
27.3,81.7,167,5.91,109,33,32,Maize,Common Rust
24.7,52.5,135,6.81,103,41,42,Wheat,Powdery Mildew
29.9,71.3,213.2,5.77,87,35,29,Rice,Brown Spot
26,84.8,183.2,6.21,103,39,25,Maize,Common Rust
28.6,88.3,267.4,6.2,112,29,40,Chili,Leaf Spot
24,77.8,152.3,6.47,76,32,43,Potato,Late Blight
24.6,56.3,121.5,6.42,101,38,40,Wheat,Powdery Mildew
31,86.2,289.3,6.17,112,31,43,Chili,Leaf Spot
31.3,88.1,282.3,6.18,101,25,43,Chili,Leaf Spot
21.8,70.3,169.1,6.72,91,51,56,Apple,Fire Blight
21.2,70.4,169.9,6.17,107,33,41,Wheat,Septoria Leaf Spot
19.3,84,176.7,6.94,78,51,35,Apple,Cedar Apple Rust
36.4,82.7,258.7,6.83,92,42,45,Rice,Bacterial Leaf Blight
34,72.1,228.7,6.03,99,49,36,Rice,Bacterial Leaf Blight
29.6,74,157.5,6.67,104,38,36,Chili,Powdery Mildew
35.8,94.2,135.4,6.92,124,45,20,Maize,Turcicum Leaf Blight
28.4,78.8,177.1,6.54,101,47,17,Maize,Gray Leaf Spot
28.8,88.1,170.9,6.22,98,48,25,Maize,Gray Leaf Spot
28,69.4,158.4,7.09,74,51,37,Cotton,Verticillium Wilt
25.9,52.2,205.3,7.25,81,51,34,Cotton,Verticillium Wilt
25.8,54.9,167.9,7.06,77,50,30,Cotton,Verticillium Wilt
18.4,89,194,5.53,86,35,32,Tomato,Late Blight
21.2,61.6,135.6,5.91,64,63,25,Potato,Early Blight
24.4,68.3,145.6,6.11,94,54,38,Tomato,Early Blight
28.4,79.3,196.7,6.22,95,47,19,Maize,Gray Leaf Spot
21.8,66.3,149,6.01,62,62,28,Potato,Early Blight
30.7,86.6,177.7,6.39,96,40,18,Maize,Gray Leaf Spot
33.4,75.7,211.7,6.39,98,49,26,Cotton,Leaf Spot
32,45.4,197,6.55,116,61,19,Chili,Anthracnose
18.8,75.7,172.9,6.74,80,48,39,Apple,Cedar Apple Rust
30.5,62,177.3,6.86,88,49,35,Cotton,Verticillium Wilt
33.6,92.2,158.7,7.08,122,46,27,Maize,Turcicum Leaf Blight
30.7,66.5,220.1,6.92,95,47,27,Cotton,Leaf Spot
21.2,74.3,133.1,6.54,82,45,55,Apple,Fire Blight
18.7,76.7,177.9,6.15,78,46,42,Apple,Apple Scab
19.5,84.3,175.5,6.46,83,50,41,Apple,Cedar Apple Rust
34.2,48.8,293.5,6.58,91,31,34,Rice,Leaf Blast
23.1,83.4,174,6.79,84,45,42,Apple,Cedar Apple Rust
35.5,49.1,259.6,6.56,98,42,30,Rice,Leaf Blast
33.1,63.6,252.6,5.51,84,38,31,Rice,Brown Spot
18.7,66.9,169,6.22,78,27,40,Potato,Late Blight
25.5,70.7,135.1,7.32,98,50,55,Apple,Fire Blight
34.4,53.7,281.3,6.63,86,44,31,Rice,Leaf Blast
31.6,76.8,187.8,7.9,107,55,57,Apple,Fire Blight
26.9,76,187.1,6.58,100,32,32,Chili,Powdery Mildew
29.7,63.6,152.3,7.11,79,41,32,Cotton,Verticillium Wilt
21.2,83.9,171.6,6.68,79,43,40,Apple,Cedar Apple Rust
33.8,53.8,203.5,6.87,101,63,17,Chili,Anthracnose
29.6,79.7,144.5,6.48,88,51,36,Tomato,Bacterial Spot
37.6,92.4,146.2,7.17,114,48,25,Maize,Turcicum Leaf Blight
32.5,84,170.4,6.62,103,48,22,Maize,Gray Leaf Spot
28.5,52.1,170.7,6.65,82,54,39,Cotton,Verticillium Wilt
30.6,65.8,195.6,6.85,79,48,39,Cotton,Verticillium Wilt
25.9,69.9,152,6.77,96,42,34,Chili,Powdery Mildew
21.2,88.6,155.9,5.86,76,37,47,Apple,Apple Scab
20.1,62.4,135.7,6.87,94,38,40,Wheat,Powdery Mildew
33.6,91.1,133.7,6.99,117,52,22,Maize,Turcicum Leaf Blight
22.3,67.5,131.1,5.9,77,63,30,Potato,Early Blight
20.6,66.4,143.7,6.62,89,50,55,Apple,Fire Blight
28.7,84.5,154.6,6.21,103,43,33,Maize,Common Rust
33.8,62.3,244,5.5,81,38,27,Rice,Brown Spot
37,54.7,317,7.15,102,38,42,Rice,Leaf Blast
26.1,72.1,152.4,6.51,92,30,33,Chili,Powdery Mildew
28.7,85.9,185.4,6.05,111,43,18,Maize,Gray Leaf Spot
18.7,83.4,174.5,6.24,75,40,45,Apple,Apple Scab
22.5,54,124.9,7.47,55,40,44,Potato,Common Scab
32.6,54,287.5,6.54,94,34,39,Rice,Leaf Blast
30.6,86,144.4,6.52,116,48,20,Maize,Turcicum Leaf Blight
27.2,84.8,172.8,5.94,95,40,34,Maize,Common Rust
20.4,92.9,164.8,6.14,87,40,42,Tomato,Late Blight
23.6,84.1,167,6.5,109,28,31,Wheat,Septoria Leaf Spot
26.9,70.8,177.1,6.03,99,40,34,Maize,Common Rust
24.6,64.4,151.8,6.11,98,45,36,Wheat,Leaf Rust
27.8,78.5,150.4,6.44,95,53,48,Tomato,Bacterial Spot
37.5,56.2,234.9,6.34,70,53,36,Cotton,Bacterial Blight
22.7,51.7,125,7.23,58,59,43,Potato,Common Scab
20.1,79.6,167.4,6.41,76,32,49,Potato,Late Blight
26.9,70.6,136.7,6.11,94,54,32,Tomato,Early Blight
28.4,82.5,190,6.49,109,45,21,Maize,Gray Leaf Spot
20.6,68.8,158.9,6.78,90,58,45,Apple,Fire Blight
30.7,47.7,199,6.81,111,53,18,Chili,Anthracnose
31.7,48.2,297.3,6.44,91,40,31,Rice,Leaf Blast
34.7,93.9,156,6.98,112,53,27,Maize,Turcicum Leaf Blight
30.6,54.8,264.3,6.51,94,30,38,Rice,Leaf Blast
27.8,71.2,159.7,6.3,94,47,42,Tomato,Bacterial Spot
27.7,77.5,171.5,6.51,103,41,39,Chili,Powdery Mildew
19.1,75.2,151.4,6.26,85,21,45,Potato,Late Blight
33.4,88.7,134.4,7,114,54,26,Maize,Turcicum Leaf Blight
30,87.4,200.8,6.2,95,36,28,Maize,Gray Leaf Spot
37,41.8,206.8,6.62,67,45,43,Cotton,Bacterial Blight
23.4,56.4,141.9,6.89,92,43,45,Wheat,Powdery Mildew
34,51.3,255,6.6,86,31,35,Rice,Leaf Blast
31,73.7,160.7,6.44,101,42,35,Tomato,Bacterial Spot
22.5,65.7,176.6,6.43,85,28,48,Potato,Late Blight
33,62.3,202.3,6.12,76,26,29,Rice,Brown Spot
30.5,56.9,182.3,6.53,110,52,15,Chili,Anthracnose
37.4,83.1,260.3,6.01,109,48,48,Rice,Bacterial Leaf Blight
32.5,92.3,148.1,7.06,122,51,27,Maize,Turcicum Leaf Blight
26.7,73.6,144.8,6.6,102,46,36,Wheat,Leaf Rust
31,66.4,157.3,7.35,78,43,38,Cotton,Verticillium Wilt
30.7,73.6,206.3,6,83,26,34,Rice,Brown Spot
31.1,88.7,285.3,6.38,105,34,43,Chili,Leaf Spot
28.6,81.4,256.6,6.06,99,28,44,Chili,Leaf Spot
26.5,67.7,142.8,6.48,104,38,44,Wheat,Leaf Rust
24.7,79.7,137.1,7.23,86,51,55,Apple,Fire Blight
22.6,65.6,135.3,5.98,81,33,33,Chili,Powdery Mildew
22.8,76.4,138.3,7.09,93,54,55,Apple,Fire Blight
37.8,38.9,237.7,6.56,69,45,41,Cotton,Bacterial Blight
32.6,67.5,218.3,6.18,83,31,27,Rice,Brown Spot
26.1,61,153.8,6.59,89,46,35,Wheat,Leaf Rust
29.7,77.9,161.4,6.29,93,35,36,Chili,Powdery Mildew
31.2,48.6,257.5,6.55,91,43,39,Rice,Leaf Blast
21.9,59.9,124.2,6.74,93,37,42,Wheat,Powdery Mildew
29,84.1,274.9,6.27,108,25,42,Chili,Leaf Spot
32.2,51.6,273.5,6.4,94,30,34,Rice,Leaf Blast
26.9,76.8,151.6,6.46,92,39,39,Chili,Powdery Mildew
26,67,153.8,6.3,92,49,37,Tomato,Early Blight
16.4,82.7,171.5,5.82,80,49,45,Apple,Apple Scab
18.7,92.4,160.1,6.08,78,43,40,Tomato,Late Blight
33.9,90.4,149.8,7.08,107,52,26,Maize,Turcicum Leaf Blight
28.7,89.4,276.6,6.43,101,28,44,Chili,Leaf Spot
17.4,79,188.5,6.56,80,48,43,Apple,Apple Scab
18.1,94.1,185.8,5.56,75,30,39,Tomato,Late Blight
35.3,85.3,257.2,6.23,90,46,49,Rice,Bacterial Leaf Blight
24.8,50.1,129.2,7.48,66,53,36,Potato,Common Scab
31.3,71.4,194.4,6.17,95,49,32,Cotton,Leaf Spot
24.1,65.6,154.9,6.57,87,30,44,Wheat,Leaf Rust
30.3,83.5,282.9,6.01,96,25,39,Chili,Leaf Spot
30.8,39.1,214.1,5.82,66,43,40,Cotton,Bacterial Blight
31.9,81.8,279.5,6.04,109,34,43,Chili,Leaf Spot
36.2,86.7,155.6,6.86,113,41,25,Maize,Turcicum Leaf Blight
24.1,64.9,157.3,6.15,98,48,29,Tomato,Early Blight
28,75.7,164.9,6.61,99,44,30,Chili,Powdery Mildew
30,84.3,209.1,6.3,102,41,16,Maize,Gray Leaf Spot
19.7,77,162.7,6.04,71,47,41,Apple,Apple Scab
18.3,83,176,6.39,85,49,37,Apple,Cedar Apple Rust
25.5,52,175,6.81,88,45,37,Cotton,Verticillium Wilt
23.8,50.6,145.1,6.77,101,41,48,Wheat,Powdery Mildew
23.8,58.8,144.9,6.45,99,41,48,Wheat,Powdery Mildew
31.1,63.5,210.9,6.07,72,32,34,Rice,Brown Spot
24.6,63,122.1,6.22,96,53,34,Tomato,Early Blight
25.3,65.4,143.3,6.46,89,54,43,Tomato,Bacterial Spot
31.1,84.9,294.5,6.17,102,33,39,Chili,Leaf Spot
31.8,81.5,254.1,6.22,111,29,43,Chili,Leaf Spot
23.1,68.7,159.5,6.11,70,56,32,Potato,Early Blight
22.7,61.8,159.1,6.11,83,63,30,Potato,Early Blight
15.2,81.6,194,6.02,73,46,43,Apple,Apple Scab
21.6,63.5,146.6,6.6,108,44,48,Wheat,Powdery Mildew
30,87.5,255.5,6.21,95,25,39,Chili,Leaf Spot
18.1,76.2,160.4,6.21,73,49,42,Apple,Apple Scab
29.3,83.6,158.7,6.38,104,44,30,Maize,Common Rust
24.4,75.2,139.2,7.01,98,52,47,Apple,Fire Blight
29.6,86,262.1,6.25,96,25,39,Chili,Leaf Spot
37.5,46.8,247.7,6.65,61,58,39,Cotton,Bacterial Blight
20.8,57.1,136.6,6.74,94,42,40,Wheat,Powdery Mildew
28.1,72,165,6.37,101,31,28,Maize,Common Rust
28.2,78.7,154.6,6.13,97,37,34,Maize,Common Rust
20.5,79,157.9,6.33,75,36,47,Apple,Apple Scab
15.9,88.7,166.8,6.8,89,46,40,Apple,Apple Scab
32.7,53.9,192.5,6.65,100,61,22,Chili,Anthracnose
23.9,66.4,155.8,6.6,89,38,37,Wheat,Leaf Rust
26.6,59.9,101.8,7.64,57,47,41,Potato,Common Scab
20.8,68.1,150,6.01,68,63,28,Potato,Early Blight
23.4,84.2,177.5,6.78,90,43,39,Apple,Cedar Apple Rust
31.7,66.1,161.5,6.59,99,49,46,Tomato,Bacterial Spot
35.5,78,276.9,6.78,95,47,41,Rice,Bacterial Leaf Blight
16.5,75,168.4,5.87,81,44,40,Apple,Apple Scab
33.9,50.7,234.5,6.35,80,51,35,Cotton,Bacterial Blight
35.7,88.1,134.9,6.82,108,46,22,Maize,Turcicum Leaf Blight
36.8,89.8,147.2,6.86,111,46,28,Maize,Turcicum Leaf Blight
28.7,76.1,175.1,6.34,100,38,25,Maize,Common Rust
17.2,83.7,193,6.19,87,40,42,Apple,Apple Scab
30.1,65.8,180.1,6.1,95,49,29,Cotton,Leaf Spot
34.5,45.9,197.9,6.78,100,57,21,Chili,Anthracnose
27.3,63.6,152,6.15,87,48,43,Wheat,Leaf Rust
25.6,76.7,162.5,6.6,91,46,38,Tomato,Bacterial Spot
26.7,59.4,120.9,7.97,65,43,37,Potato,Common Scab
28.1,66.8,142.3,6,87,47,35,Tomato,Early Blight
25.6,66.9,128.6,6.43,91,59,33,Tomato,Early Blight
21.7,81.1,161.7,5.57,76,38,33,Tomato,Late Blight
29.7,87.1,177.4,6.2,98,45,25,Maize,Gray Leaf Spot
36,78,274.5,6.64,105,40,49,Rice,Bacterial Leaf Blight
36.2,91.3,133.4,7.11,119,49,21,Maize,Turcicum Leaf Blight
30.6,51.3,185.8,6.71,107,61,22,Chili,Anthracnose
21.5,77.8,173.3,6.37,89,49,44,Apple,Cedar Apple Rust
19.5,77.6,169.1,6.6,84,45,40,Apple,Cedar Apple Rust
29.1,82.6,261.1,6.35,96,32,41,Chili,Leaf Spot
30.7,42.8,200.4,6.66,68,56,38,Cotton,Bacterial Blight
21.7,86.4,188.4,6.11,89,44,34,Tomato,Late Blight
20.2,53.7,136.7,6.25,88,39,37,Wheat,Powdery Mildew
31,52.6,299.2,6.77,87,43,37,Rice,Leaf Blast
19.5,83.7,186,5.89,76,37,41,Tomato,Late Blight
33.2,82.8,269,6.56,95,38,35,Rice,Bacterial Leaf Blight
30.7,53,234,6.63,83,57,35,Cotton,Bacterial Blight
35.1,90.7,130.6,7.08,119,41,25,Maize,Turcicum Leaf Blight
23.8,62.2,148.7,5.83,61,57,30,Potato,Early Blight
33.7,53.3,274.7,6.36,85,34,36,Rice,Leaf Blast
24.9,94.9,196.3,6.79,88,48,44,Apple,Cedar Apple Rust
28.7,61.7,224.7,5.95,84,27,25,Rice,Brown Spot
33.9,75.2,222.3,6.58,94,37,44,Rice,Bacterial Leaf Blight
25.5,70.6,158.3,6,92,30,32,Maize,Common Rust
29.9,55.2,206.5,7.03,86,45,31,Cotton,Verticillium Wilt
34.5,41.1,235.2,6.75,70,52,44,Cotton,Bacterial Blight
29.7,75.2,225.1,6.39,95,45,25,Cotton,Leaf Spot
20.1,69.6,155.1,6.08,70,52,26,Potato,Early Blight
28.2,67.6,156,6.76,85,41,33,Cotton,Verticillium Wilt
26.6,61.5,149.8,6.05,88,57,32,Tomato,Early Blight
21.6,78.7,152.4,6.31,84,30,41,Potato,Late Blight
37.1,56.9,203.8,6.35,72,54,37,Cotton,Bacterial Blight
19.7,76.2,169.4,5.82,112,39,35,Wheat,Septoria Leaf Spot
29.3,73.8,161.1,6.44,98,43,30,Chili,Powdery Mildew
17.6,85.4,172,6.47,79,49,42,Apple,Apple Scab
31.7,77.7,191.7,6.44,83,43,27,Cotton,Leaf Spot
28.5,65.5,214.8,6.44,91,43,27,Cotton,Leaf Spot
33.5,89.7,140.6,6.94,121,51,29,Maize,Turcicum Leaf Blight
27.8,74.6,164.6,6.48,99,35,41,Wheat,Leaf Rust
21,76.2,160.5,6.19,82,44,48,Apple,Apple Scab
36.7,86.7,131.5,6.96,122,51,25,Maize,Turcicum Leaf Blight
33.5,66.5,220.3,6.6,82,36,33,Cotton,Leaf Spot
37.1,49.9,232.3,6.57,61,56,40,Cotton,Bacterial Blight
25,63,138.8,6.46,80,56,25,Tomato,Early Blight
37,58.4,226.4,6.68,70,56,37,Cotton,Bacterial Blight
26.3,61.6,163.6,6.54,98,37,43,Wheat,Leaf Rust
23.5,46.6,131.3,7.47,50,47,44,Potato,Common Scab
28.2,69.3,183.8,6.5,94,44,39,Chili,Powdery Mildew
34.6,47.3,296.1,6.6,90,37,36,Rice,Leaf Blast
35,83.7,267.5,6.58,108,49,35,Rice,Bacterial Leaf Blight
21.4,83,177.3,6.57,104,27,35,Wheat,Septoria Leaf Spot
29,73.8,165.6,6.27,102,30,38,Chili,Powdery Mildew
18.4,75.6,142.2,5.92,79,28,42,Potato,Late Blight
25.2,73.8,178.9,6.66,87,36,31,Chili,Powdery Mildew
28.4,72.2,176.7,6.25,102,30,31,Chili,Powdery Mildew
26.7,70,139.7,6.35,80,56,25,Tomato,Early Blight
22.3,66.2,138.3,5.88,71,55,30,Potato,Early Blight
31,54.7,295.7,6.38,86,31,39,Rice,Leaf Blast
33.5,83.4,171.8,6.29,103,49,23,Maize,Gray Leaf Spot
20.2,75.4,167.4,6.88,80,45,58,Apple,Fire Blight
24.2,69.1,148.7,6.18,84,53,37,Tomato,Early Blight
31.7,70,190.4,6.8,92,42,27,Cotton,Leaf Spot
30.6,81.5,259.3,6.1,99,27,38,Chili,Leaf Spot
33.2,74.4,229.9,6.15,81,33,29,Rice,Brown Spot
21.2,94.1,188.5,6.06,88,40,34,Tomato,Late Blight
31.9,68.8,227.7,6.48,86,37,27,Cotton,Leaf Spot
33.6,88.4,157.9,7.03,108,49,29,Maize,Turcicum Leaf Blight
21,78.4,186.5,6.52,82,46,46,Apple,Apple Scab
33.7,74.4,205.9,5.51,73,39,26,Rice,Brown Spot
22.7,64.4,156.6,5.94,62,52,32,Potato,Early Blight
21.5,68.8,138.8,6.57,86,59,50,Apple,Fire Blight
20.1,85.2,169.4,5.82,85,41,41,Tomato,Late Blight
29.6,85.2,295.7,6.49,100,27,35,Chili,Leaf Spot
19.4,71.8,179.5,6.39,75,20,44,Potato,Late Blight
23.4,62.7,129.7,6.81,101,41,46,Wheat,Powdery Mildew
20.4,75,179.7,6.26,99,36,37,Wheat,Septoria Leaf Spot
20.6,68.5,132.3,7.12,95,50,50,Apple,Fire Blight
19.3,60.2,142.1,5.88,71,25,38,Potato,Late Blight
21.5,71.3,178,6.41,110,32,43,Wheat,Septoria Leaf Spot
25.2,84.6,183.1,5.89,108,36,28,Maize,Common Rust
25.5,67.8,142.3,6.99,92,58,50,Apple,Fire Blight
26.4,60.7,142.5,6.2,95,51,35,Tomato,Early Blight
35.3,44.2,232,6.6,63,48,41,Cotton,Bacterial Blight
28.8,73,163.4,6.91,98,54,47,Tomato,Bacterial Spot
37.4,53.8,238.1,6.4,65,52,36,Cotton,Bacterial Blight
18.3,91.1,189.1,6.16,78,41,30,Tomato,Late Blight
33.8,93,150.9,7.17,108,49,22,Maize,Turcicum Leaf Blight
32.7,75.7,224.1,6.37,81,49,29,Cotton,Leaf Spot
17,87.3,162.9,6.77,81,35,40,Apple,Apple Scab
15.7,77,186.9,6.46,73,40,43,Apple,Apple Scab
32.7,65.3,217.8,6.27,86,42,27,Cotton,Leaf Spot
30.8,67.9,193.5,6.85,91,41,26,Cotton,Leaf Spot
20.1,81.6,192.1,5.92,102,30,32,Wheat,Septoria Leaf Spot
23.5,81.1,166.2,6.26,91,43,40,Apple,Cedar Apple Rust
25.9,70.7,143.1,6.98,97,48,46,Apple,Fire Blight
36.1,87.7,232.4,6.92,106,49,48,Rice,Bacterial Leaf Blight
17.2,87.8,178.7,6.41,73,47,53,Apple,Apple Scab
33.6,53.7,184.3,6.72,107,57,23,Chili,Anthracnose
30.3,61.2,205.4,5.91,81,31,29,Rice,Brown Spot
27.7,76.9,186,6.43,106,35,32,Maize,Common Rust
30.1,56.4,190.9,6.87,108,51,22,Chili,Anthracnose
31.7,42.5,209.1,6.31,79,58,41,Cotton,Bacterial Blight
31.4,77.9,197.1,6.5,114,43,19,Maize,Gray Leaf Spot
27.2,69.1,173.6,6.29,90,38,32,Chili,Powdery Mildew
19.3,84.5,165.2,6.1,95,28,41,Wheat,Septoria Leaf Spot
24,74.1,168.4,7.39,82,48,57,Apple,Fire Blight
26.5,58.7,161.9,7.05,72,40,30,Cotton,Verticillium Wilt
36,87.2,142.1,7.11,124,41,25,Maize,Turcicum Leaf Blight
29.2,75.8,155.2,6.56,98,30,38,Chili,Powdery Mildew
